"","pvalue","ARI","Gene","TruePvalue","Clustering","Thinning","GeneSymbol"
"1",2.3520610834864e-51,0.452335405906176,"ENSG00000143546",5.79017996876443e-106,"Univariate","Conditional","S100A8"
"2",9.80887179329869e-12,0.302032923291829,"ENSG00000090382",2.52004450165834e-75,"Univariate","Conditional","LYZ"
"3",6.73683227578493e-44,0.384617260870957,"ENSG00000163220",8.4173355468323e-77,"Univariate","Conditional","S100A9"
"4",0.487194118185995,0.0283910525140501,"ENSG00000251562",3.70915351226779e-12,"Univariate","Conditional","MALAT1"
"5",3.22184750570657e-07,0.143975121742755,"ENSG00000210082",4.87709176603112e-83,"Univariate","Conditional",NA
"6",4.15332319424243e-26,0.307452359352377,"ENSG00000122862",7.99546632163327e-121,"Univariate","Conditional","SRGN"
"7",0.0366228240734085,0.0286535035035151,"ENSG00000198804",1.02155630531453e-65,"Univariate","Conditional","COX1"
"8",2.45484008153499e-26,0.256301278342169,"ENSG00000196415",1.20723547978499e-111,"Univariate","Conditional","PRTN3"
"9",2.45007642871965e-05,0.0864967767793014,"ENSG00000198938",9.95125048241138e-71,"Univariate","Conditional","COX3"
"10",1.69655674153491e-12,0.173420825606218,"ENSG00000198712",6.3962620485609e-85,"Univariate","Conditional","COX2"
"11",7.73315005228501e-46,0.366526808968466,"ENSG00000005381",8.33458014390925e-117,"Univariate","Conditional","MPO"
"12",4.2050854295562e-91,0.624006784637653,"ENSG00000137818",2.07450375267133e-162,"Univariate","Conditional","RPLP1"
"13",0.792958865315533,-0.019086702052594,"ENSG00000239839",0.38427296511283,"Univariate","Conditional","DEFA3"
"14",9.36329499294599e-12,0.0995134121143232,"ENSG00000163221",1.12230403157433e-71,"Univariate","Conditional","S100A12"
"15",0.362589379014372,0.0755167278002557,"ENSG00000075624",0.0273659334751053,"Univariate","Conditional","ACTB"
"16",0.522868087067049,0.0167871860209544,"ENSG00000211459",9.17392467666307e-71,"Univariate","Conditional",NA
"17",2.08822915966242e-76,0.414907277253644,"ENSG00000012223",4.32753734014545e-153,"Univariate","Conditional","LTF"
"18",7.05042193630447e-110,0.697690706284151,"ENSG00000187514",3.41880161333847e-166,"Univariate","Conditional","PTMA"
"19",3.45832761975899e-54,0.505627888290429,"ENSG00000156508",5.98500525174245e-148,"Univariate","Conditional","EEF1A1"
"20",1.30398361849829e-09,0.141039212691905,"ENSG00000198886",5.608215587023e-69,"Univariate","Conditional","ND4"
"21",2.61344388768643e-77,0.613891089986736,"ENSG00000229117",1.02089296448888e-161,"Univariate","Conditional","RPL41"
"22",5.74126698656143e-05,0.194950765620753,"ENSG00000198899",1.36097324257398e-91,"Univariate","Conditional","ATP6"
"23",4.98095102489142e-102,0.684625983700165,"ENSG00000167526",5.90020929494596e-166,"Univariate","Conditional","RPL13"
"24",3.30445980155915e-111,0.713246116248487,"ENSG00000142937",9.0654117585265e-166,"Univariate","Conditional","RPS8"
"25",5.49610764112886e-05,0.0947377427239817,"ENSG00000198840",2.45160580673997e-65,"Univariate","Conditional","ND3"
"26",4.74189859873346e-82,0.610932909581165,"ENSG00000112306",3.69315951802427e-164,"Univariate","Conditional","RPS12"
"27",1.82470084139833e-23,0.279559689203063,"ENSG00000197561",5.14641140342655e-123,"Univariate","Conditional","ELANE"
"28",2.15637557040417e-81,0.628792028250537,"ENSG00000231500",6.9307449986946e-165,"Univariate","Conditional","RPS18"
"29",2.70467656949591e-14,0.242569618935635,"ENSG00000133112",7.96020376613764e-94,"Univariate","Conditional","TPT1"
"30",2.79656203114442e-18,0.208033414600838,"ENSG00000197061",3.96880935669756e-120,"Univariate","Conditional","H4C3"
"31",3.01706649113574e-81,0.6379471839625,"ENSG00000137154",5.86903248256141e-166,"Univariate","Conditional","RPS6"
"32",6.6096787042847e-66,0.38361145922017,"ENSG00000102837",6.34391425613175e-146,"Univariate","Conditional","OLFM4"
